ID,企業名,グループ,業種,地域,残高,収益
000000,企業名000000,Eグループ,自動車,関東,184931,92104
000001,企業名000001,Qグループ,食品,北陸,4294226,17281
000002,企業名000002,Fグループ,流通,東北,3205234,9606
000003,企業名000003,Vグループ,食品,山陽,3523789,60143
000004,企業名000004,Fグループ,衣料品,九州,1276794,18196
000005,企業名000005,Gグループ,倉庫,東北,3536782,26723
000006,企業名000006,Nグループ,流通,九州,3915363,1954
000007,企業名000007,Jグループ,自動車,四国,1837779,86047
000008,企業名000008,Rグループ,金融,北海道,3155889,77228
000009,企業名000009,Cグループ,医療,東北,3251800,15452
000010,企業名000010,Wグループ,金融,東海,4593085,45958
000011,企業名000011,Oグループ,金融,東北,3704081,86341
000012,企業名000012,Gグループ,衣料品,山陽,2595281,31574
000013,企業名000013,Lグループ,出版,東北,3382461,34007
000014,企業名000014,Jグループ,自動車,山陽,470852,6960
000015,企業名000015,Xグループ,自動車,四国,2021991,70489
000016,企業名000016,Wグループ,衣料品,九州,3259856,65174
000017,企業名000017,Xグループ,自動車,北海道,2041257,96137
000018,企業名000018,Mグループ,食品,四国,746078,90610
000019,企業名000019,Aグループ,金融,北陸,958779,86020
000020,企業名000020,Bグループ,流通,関東,1765923,59551
000021,企業名000021,Xグループ,流通,関西,4219511,76047
000022,企業名000022,Wグループ,出版,北陸,3630131,7556
000023,企業名000023,Rグループ,金融,東北,2891150,281
000024,企業名000024,Aグループ,食品,東海,4038575,57812
000025,企業名000025,Dグループ,衣料品,四国,4180566,64242
000026,企業名000026,Hグループ,倉庫,東海,1922995,21961
000027,企業名000027,Sグループ,流通,東海,1235000,56449
000028,企業名000028,Lグループ,医療,山陽,3523485,21176
000029,企業名000029,Nグループ,旅行,四国,2151767,56203
000030,企業名000030,Tグループ,出版,関西,3367218,58910
000031,企業名000031,Bグループ,流通,山陽,1000836,71536
000032,企業名000032,Bグループ,倉庫,北陸,2524234,64308
000033,企業名000033,Xグループ,医療,九州,1583444,41023
000034,企業名000034,Bグループ,衣料品,北陸,4604721,85661
000035,企業名000035,Bグループ,通販,北海道,546343,50777
000036,企業名000036,Iグループ,通販,四国,2294873,14759
000037,企業名000037,Eグループ,自動車,九州,3195260,90567
000038,企業名000038,Cグループ,金融,四国,1765372,50577
000039,企業名000039,Oグループ,旅行,北陸,4206491,18715
000040,企業名000040,Xグループ,旅行,関東,1034085,27817
